	t	p_m	v_p	l_p
0	2.84	30.2543	0.0972	0.0000
p_max	7.87	214.1889	246.2890	0.4431
e	-	-	-	-
m	15.17	81.2256	652.2366	3.9785
	t	p_m	v_p	l_p
0	2.42	30.2367	0.0971	0.0000
p_max	7.21	295.0383	299.8252	0.4854
e	10.68	178.0600	626.4383	2.1427
m	13.32	85.0703	751.2895	3.9817
	t	p_m	v_p	l_p
0	2.20	30.1580	0.0194	0.0000
p_max	6.82	362.3496	337.7371	0.5077
e	8.70	282.5301	578.8372	1.3790
m	12.37	81.9965	793.2489	3.9780
